Target: 00, MAE: 4.85522 _ 3.42503                                                                       
Target: 01, MAE: 15.25113 _ 6.21239                                                                      
Target: 02, MAE: 603.06152 _ 484.24606                                                                   
Target: 03, MAE: 994.61578 _ 703.35645                                                                   
Target: 05, MAE: 977.33118 _ 332.41879                                                                   
Target: 06, MAE: 594.56433 _ 317.66690                                                                   
Target: 07, MAE: 3095.07080 _ 1889.53796                                                                 
Target: 08, MAE: 2628.95557 _ 1322.35669                                                                 
Target: 09, MAE: 4500.61523 _ 2779.34424                                                                 
Target: 10, MAE: 1672.25085 _ 1157.23523                                                                 
Target: 11, MAE: 10.57527 _ 4.18714     
